00:00.971  blend            | Read blend: "/Users/nesbes/chess/promo/edit/Khatib-Promo.blend"
00:00.979  render           | Rendering animation (frames 1..1200)
00:00.993  render           | Rendering frame 1
00:00.994  render           | Executing sequencer
00:01.183  render           | Video append frame 1
00:01.183  render           | Time: 00:00.18 (Saving: 00:00.08)
Blender 5.2.0 LTS (hash fbe6228777e7 built 2026-07-14 01:31:22)
00:01.183  render           | Rendering frame 2
00:01.184  render           | Executing sequencer
00:01.201  render           | Video append frame 2
00:01.202  render           | Time: 00:00.01 (Saving: 00:00.00)
00:01.202  render           | Rendering frame 3
00:01.203  render           | Executing sequencer
00:01.215  render           | Video append frame 3
00:01.215  render           | Time: 00:00.01 (Saving: 00:00.00)
00:01.215  render           | Rendering frame 4
00:01.216  render           | Executing sequencer
00:01.230  render           | Video append frame 4
00:01.231  render           | Time: 00:00.01 (Saving: 00:00.00)
00:01.231  render           | Rendering frame 5
00:01.232  render           | Executing sequencer
00:01.245  render           | Video append frame 5
00:01.245  render           | Time: 00:00.01 (Saving: 00:00.00)
00:01.245  render           | Rendering frame 6
00:01.246  render           | Executing sequencer
00:01.280  render           | Video append frame 6
00:01.280  render           | Time: 00:00.03 (Saving: 00:00.00)
00:01.280  render           | Rendering frame 7
00:01.281  render           | Executing sequencer
00:01.312  render           | Video append frame 7
00:01.312  render           | Time: 00:00.03 (Saving: 00:00.00)
00:01.312  render           | Rendering frame 8
00:01.313  render           | Executing sequencer
00:01.343  render           | Video append frame 8
00:01.343  render           | Time: 00:00.02 (Saving: 00:00.00)
00:01.343  render           | Rendering frame 9
00:01.344  render           | Executing sequencer
00:01.376  render           | Video append frame 9
00:01.376  render           | Time: 00:00.03 (Saving: 00:00.00)
00:01.376  render           | Rendering frame 10
00:01.376  render           | Executing sequencer
00:01.411  render           | Video append frame 10
00:01.411  render           | Time: 00:00.03 (Saving: 00:00.00)
00:01.411  render           | Rendering frame 11
00:01.412  render           | Executing sequencer
00:01.510  render           | Video append frame 11
00:01.510  render           | Time: 00:00.09 (Saving: 00:00.00)
00:01.510  render           | Rendering frame 12
00:01.511  render           | Executing sequencer
00:01.535  render           | Video append frame 12
00:01.535  render           | Time: 00:00.02 (Saving: 00:00.00)
00:01.535  render           | Rendering frame 13
00:01.536  render           | Executing sequencer
00:01.567  render           | Video append frame 13
00:01.567  render           | Time: 00:00.03 (Saving: 00:00.00)
00:01.567  render           | Rendering frame 14
00:01.568  render           | Executing sequencer
00:01.597  render           | Video append frame 14
