00:00.524  blend            | Read blend: "/Users/nesbes/chess/promo/software/Khatib-Software.blend"
00:00.567  render           | Rendering animation (frames 1..1200)
00:00.576  render           | Rendering frame 1
00:00.576  render           | Executing sequencer
00:00.576  render           | Rendering frame 1
00:00.576  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:00.576  render           | Engine: EEVEE
00:00.848  render           | Fra: 1 | Rendering 1 / 16 samples
Blender 5.2.0 LTS (hash fbe6228777e7 built 2026-07-14 01:31:22)
Scene switch for render: 'EDIT / 40 second master' in file: '/Users/nesbes/chess/promo/software/Khatib-Software.blend'
00:00.887  render           | Fra: 1 | Rendering 16 / 16 samples
00:01.278  render           | Video append frame 1
00:01.278  render           | Time: 00:00.70 (Saving: 00:00.09)
00:01.278  render           | Rendering frame 2
00:01.279  render           | Executing sequencer
00:01.279  render           | Rendering frame 2
00:01.279  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:01.279  render           | Engine: EEVEE
00:01.347  render           | Fra: 2 | Rendering 1 / 16 samples
00:01.373  render           | Fra: 2 | Rendering 16 / 16 samples
00:01.642  render           | Video append frame 2
00:01.642  render           | Time: 00:00.36 (Saving: 00:00.01)
00:01.642  render           | Rendering frame 3
00:01.642  render           | Executing sequencer
00:01.642  render           | Rendering frame 3
00:01.642  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:01.642  render           | Engine: EEVEE
00:01.702  render           | Fra: 3 | Rendering 1 / 16 samples
00:01.730  render           | Fra: 3 | Rendering 16 / 16 samples
00:01.976  render           | Video append frame 3
00:01.976  render           | Time: 00:00.33 (Saving: 00:00.01)
00:01.976  render           | Rendering frame 4
00:01.976  render           | Executing sequencer
00:01.976  render           | Rendering frame 4
00:01.976  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:01.976  render           | Engine: EEVEE
00:02.026  render           | Fra: 4 | Rendering 1 / 16 samples
00:02.051  render           | Fra: 4 | Rendering 16 / 16 samples
00:02.301  render           | Video append frame 4
00:02.301  render           | Time: 00:00.32 (Saving: 00:00.01)
00:02.301  render           | Rendering frame 5
00:02.301  render           | Executing sequencer
00:02.301  render           | Rendering frame 5
00:02.302  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:02.302  render           | Engine: EEVEE
00:02.352  render           | Fra: 5 | Rendering 1 / 16 samples
00:02.377  render           | Fra: 5 | Rendering 16 / 16 samples
00:02.639  render           | Video append frame 5
00:02.639  render           | Time: 00:00.33 (Saving: 00:00.01)
00:02.639  render           | Rendering frame 6
00:02.640  render           | Executing sequencer
00:02.640  render           | Rendering frame 6
00:02.640  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:02.640  render           | Engine: EEVEE
00:02.693  render           | Fra: 6 | Rendering 1 / 16 samples
00:02.718  render           | Fra: 6 | Rendering 16 / 16 samples
00:02.972  render           | Video append frame 6
00:02.972  render           | Time: 00:00.33 (Saving: 00:00.01)
00:02.973  render           | Rendering frame 7
00:02.973  render           | Executing sequencer
00:02.973  render           | Rendering frame 7
00:02.973  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:02.973  render           | Engine: EEVEE
00:03.027  render           | Fra: 7 | Rendering 1 / 16 samples
00:03.055  render           | Fra: 7 | Rendering 16 / 16 samples
00:03.306  render           | Video append frame 7
00:03.306  render           | Time: 00:00.33 (Saving: 00:00.01)
00:03.306  render           | Rendering frame 8
00:03.307  render           | Executing sequencer
00:03.307  render           | Rendering frame 8
00:03.307  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:03.307  render           | Engine: EEVEE
00:03.378  render           | Fra: 8 | Rendering 1 / 16 samples
00:03.402  render           | Fra: 8 | Rendering 16 / 16 samples
00:03.665  render           | Video append frame 8
00:03.665  render           | Time: 00:00.35 (Saving: 00:00.01)
00:03.665  render           | Rendering frame 9
00:03.666  render           | Executing sequencer
00:03.666  render           | Rendering frame 9
00:03.666  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:03.666  render           | Engine: EEVEE
00:03.719  render           | Fra: 9 | Rendering 1 / 16 samples
00:03.746  render           | Fra: 9 | Rendering 16 / 16 samples
00:04.006  render           | Video append frame 9
00:04.006  render           | Time: 00:00.33 (Saving: 00:00.01)
00:04.006  render           | Rendering frame 10
00:04.007  render           | Executing sequencer
00:04.007  render           | Rendering frame 10
00:04.007  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:04.007  render           | Engine: EEVEE
00:04.062  render           | Fra: 10 | Rendering 1 / 16 samples
00:04.087  render           | Fra: 10 | Rendering 16 / 16 samples
00:04.339  render           | Video append frame 10
00:04.339  render           | Time: 00:00.33 (Saving: 00:00.01)
00:04.339  render           | Rendering frame 11
00:04.339  render           | Executing sequencer
00:04.339  render           | Rendering frame 11
00:04.340  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:04.340  render           | Engine: EEVEE
00:04.417  render           | Fra: 11 | Rendering 1 / 16 samples
00:04.443  render           | Fra: 11 | Rendering 16 / 16 samples
00:04.732  render           | Video append frame 11
00:04.732  render           | Time: 00:00.39 (Saving: 00:00.01)
00:04.732  render           | Rendering frame 12
00:04.733  render           | Executing sequencer
00:04.733  render           | Rendering frame 12
00:04.733  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:04.734  render           | Engine: EEVEE
00:04.798  render           | Fra: 12 | Rendering 1 / 16 samples
00:04.823  render           | Fra: 12 | Rendering 16 / 16 samples
00:05.106  render           | Video append frame 12
00:05.107  render           | Time: 00:00.37 (Saving: 00:00.01)
00:05.107  render           | Rendering frame 13
00:05.107  render           | Executing sequencer
00:05.107  render           | Rendering frame 13
00:05.107  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:05.107  render           | Engine: EEVEE
00:05.157  render           | Fra: 13 | Rendering 1 / 16 samples
00:05.182  render           | Fra: 13 | Rendering 16 / 16 samples
00:05.449  render           | Video append frame 13
00:05.449  render           | Time: 00:00.34 (Saving: 00:00.01)
00:05.449  render           | Rendering frame 14
00:05.450  render           | Executing sequencer
00:05.450  render           | Rendering frame 14
00:05.450  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:05.450  render           | Engine: EEVEE
00:05.502  render           | Fra: 14 | Rendering 1 / 16 samples
00:05.529  render           | Fra: 14 | Rendering 16 / 16 samples
00:05.790  render           | Video append frame 14
00:05.790  render           | Time: 00:00.34 (Saving: 00:00.01)
00:05.790  render           | Rendering frame 15
00:05.790  render           | Executing sequencer
00:05.794  render           | Rendering frame 15
00:05.795  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:05.795  render           | Engine: EEVEE
00:05.845  render           | Fra: 15 | Rendering 1 / 16 samples
00:05.872  render           | Fra: 15 | Rendering 16 / 16 samples
00:06.150  render           | Video append frame 15
00:06.150  render           | Time: 00:00.35 (Saving: 00:00.02)
00:06.150  render           | Rendering frame 16
00:06.151  render           | Executing sequencer
00:06.156  render           | Rendering frame 16
00:06.157  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:06.157  render           | Engine: EEVEE
00:06.215  render           | Fra: 16 | Rendering 1 / 16 samples
00:06.241  render           | Fra: 16 | Rendering 16 / 16 samples
00:06.509  render           | Video append frame 16
00:06.509  render           | Time: 00:00.35 (Saving: 00:00.01)
00:06.509  render           | Rendering frame 17
00:06.510  render           | Executing sequencer
00:06.523  render           | Rendering frame 17
00:06.524  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:06.524  render           | Engine: EEVEE
00:06.580  render           | Fra: 17 | Rendering 1 / 16 samples
00:06.606  render           | Fra: 17 | Rendering 16 / 16 samples
00:06.866  render           | Video append frame 17
00:06.867  render           | Time: 00:00.35 (Saving: 00:00.01)
00:06.867  render           | Rendering frame 18
00:06.867  render           | Executing sequencer
00:06.867  render           | Rendering frame 18
00:06.868  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:06.868  render           | Engine: EEVEE
00:06.919  render           | Fra: 18 | Rendering 1 / 16 samples
00:06.945  render           | Fra: 18 | Rendering 16 / 16 samples
00:07.208  render           | Video append frame 18
00:07.209  render           | Time: 00:00.34 (Saving: 00:00.01)
00:07.209  render           | Rendering frame 19
00:07.210  render           | Executing sequencer
00:07.210  render           | Rendering frame 19
00:07.211  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:07.211  render           | Engine: EEVEE
00:07.259  render           | Fra: 19 | Rendering 1 / 16 samples
00:07.285  render           | Fra: 19 | Rendering 16 / 16 samples
00:07.558  render           | Video append frame 19
00:07.558  render           | Time: 00:00.34 (Saving: 00:00.01)
00:07.558  render           | Rendering frame 20
00:07.559  render           | Executing sequencer
00:07.559  render           | Rendering frame 20
00:07.560  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:07.560  render           | Engine: EEVEE
00:07.611  render           | Fra: 20 | Rendering 1 / 16 samples
00:07.637  render           | Fra: 20 | Rendering 16 / 16 samples
00:07.917  render           | Video append frame 20
00:07.917  render           | Time: 00:00.35 (Saving: 00:00.01)
00:07.917  render           | Rendering frame 21
00:07.918  render           | Executing sequencer
00:07.919  render           | Rendering frame 21
00:07.919  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:07.919  render           | Engine: EEVEE
00:07.983  render           | Fra: 21 | Rendering 1 / 16 samples
00:08.009  render           | Fra: 21 | Rendering 16 / 16 samples
00:08.280  render           | Video append frame 21
00:08.280  render           | Time: 00:00.36 (Saving: 00:00.01)
00:08.280  render           | Rendering frame 22
00:08.280  render           | Executing sequencer
00:08.281  render           | Rendering frame 22
00:08.281  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:08.281  render           | Engine: EEVEE
00:08.341  render           | Fra: 22 | Rendering 1 / 16 samples
00:08.367  render           | Fra: 22 | Rendering 16 / 16 samples
00:08.776  render           | Video append frame 22
00:08.776  render           | Time: 00:00.49 (Saving: 00:00.09)
00:08.776  render           | Rendering frame 23
00:08.778  render           | Executing sequencer
00:08.779  render           | Rendering frame 23
00:08.780  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:08.781  render           | Engine: EEVEE
00:08.876  render           | Fra: 23 | Rendering 1 / 16 samples
00:08.903  render           | Fra: 23 | Rendering 16 / 16 samples
00:09.177  render           | Video append frame 23
00:09.177  render           | Time: 00:00.39 (Saving: 00:00.01)
00:09.177  render           | Rendering frame 24
00:09.178  render           | Executing sequencer
00:09.179  render           | Rendering frame 24
00:09.179  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:09.179  render           | Engine: EEVEE
00:09.239  render           | Fra: 24 | Rendering 1 / 16 samples
00:09.265  render           | Fra: 24 | Rendering 16 / 16 samples
00:09.545  render           | Video append frame 24
00:09.545  render           | Time: 00:00.36 (Saving: 00:00.01)
00:09.545  render           | Rendering frame 25
00:09.546  render           | Executing sequencer
00:09.546  render           | Rendering frame 25
00:09.546  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:09.546  render           | Engine: EEVEE
00:09.599  render           | Fra: 25 | Rendering 1 / 16 samples
00:09.623  render           | Fra: 25 | Rendering 16 / 16 samples
00:09.896  render           | Video append frame 25
00:09.896  render           | Time: 00:00.34 (Saving: 00:00.01)
00:09.896  render           | Rendering frame 26
00:09.896  render           | Executing sequencer
00:09.897  render           | Rendering frame 26
00:09.897  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:09.897  render           | Engine: EEVEE
00:09.959  render           | Fra: 26 | Rendering 1 / 16 samples
00:09.984  render           | Fra: 26 | Rendering 16 / 16 samples
00:10.255  render           | Video append frame 26
00:10.256  render           | Time: 00:00.35 (Saving: 00:00.01)
00:10.256  render           | Rendering frame 27
00:10.256  render           | Executing sequencer
00:10.257  render           | Rendering frame 27
00:10.257  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:10.257  render           | Engine: EEVEE
00:10.311  render           | Fra: 27 | Rendering 1 / 16 samples
00:10.335  render           | Fra: 27 | Rendering 16 / 16 samples
00:10.614  render           | Video append frame 27
00:10.615  render           | Time: 00:00.35 (Saving: 00:00.01)
00:10.615  render           | Rendering frame 28
00:10.615  render           | Executing sequencer
00:10.615  render           | Rendering frame 28
00:10.616  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:10.616  render           | Engine: EEVEE
00:10.669  render           | Fra: 28 | Rendering 1 / 16 samples
00:10.694  render           | Fra: 28 | Rendering 16 / 16 samples
00:10.973  render           | Video append frame 28
00:10.973  render           | Time: 00:00.35 (Saving: 00:00.01)
00:10.974  render           | Rendering frame 29
00:10.974  render           | Executing sequencer
00:10.975  render           | Rendering frame 29
00:10.976  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:10.976  render           | Engine: EEVEE
00:11.032  render           | Fra: 29 | Rendering 1 / 16 samples
00:11.059  render           | Fra: 29 | Rendering 16 / 16 samples
00:11.342  render           | Video append frame 29
00:11.342  render           | Time: 00:00.36 (Saving: 00:00.01)
00:11.342  render           | Rendering frame 30
00:11.343  render           | Executing sequencer
00:11.344  render           | Rendering frame 30
00:11.344  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:11.345  render           | Engine: EEVEE
00:11.407  render           | Fra: 30 | Rendering 1 / 16 samples
00:11.433  render           | Fra: 30 | Rendering 16 / 16 samples
00:11.709  render           | Video append frame 30
00:11.709  render           | Time: 00:00.36 (Saving: 00:00.01)
00:11.709  render           | Rendering frame 31
00:11.709  render           | Executing sequencer
00:11.710  render           | Rendering frame 31
00:11.710  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:11.710  render           | Engine: EEVEE
00:11.766  render           | Fra: 31 | Rendering 1 / 16 samples
00:11.793  render           | Fra: 31 | Rendering 16 / 16 samples
00:12.067  render           | Video append frame 31
00:12.067  render           | Time: 00:00.35 (Saving: 00:00.01)
00:12.067  render           | Rendering frame 32
00:12.068  render           | Executing sequencer
00:12.069  render           | Rendering frame 32
00:12.069  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:12.069  render           | Engine: EEVEE
00:12.122  render           | Fra: 32 | Rendering 1 / 16 samples
00:12.147  render           | Fra: 32 | Rendering 16 / 16 samples
00:12.429  render           | Video append frame 32
00:12.429  render           | Time: 00:00.36 (Saving: 00:00.01)
00:12.429  render           | Rendering frame 33
00:12.430  render           | Executing sequencer
00:12.430  render           | Rendering frame 33
00:12.431  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:12.431  render           | Engine: EEVEE
00:12.484  render           | Fra: 33 | Rendering 1 / 16 samples
00:12.509  render           | Fra: 33 | Rendering 16 / 16 samples
00:12.811  render           | Video append frame 33
00:12.811  render           | Time: 00:00.38 (Saving: 00:00.02)
00:12.811  render           | Rendering frame 34
00:12.812  render           | Executing sequencer
00:12.813  render           | Rendering frame 34
00:12.813  render           | Start rendering: KHATIB / Software launch, ViewLayer
00:12.813  render           | Engine: EEVEE
00:12.869  render           | Fra: 34 | Rendering 1 / 16 samples
00:12.895  render           | Fra: 34 | Rendering 16 / 16 samples
00:13.185  render           | Video append frame 34
